modality,threshold,n_clusters,coverage,silhouette,davies_bouldin,ari,nmi,v_measure,purity,ari_events,nmi_events,purity_events
image,0.15,19,0.4206896551724138,0.34722471237182617,1.3670017490047073,0.04960373447971065,0.42557835202101824,0.4255783520210182,0.5983935742971888,0.013532508993877016,0.19457111178114017,0.20408163265306123
image,0.175,23,0.5586206896551724,0.29899394512176514,1.4398564363398294,0.16872743310578148,0.5318479382349758,0.5318479382349757,0.6987951807228916,0.05581395348837209,0.40416270637177965,0.3673469387755102
image,0.2,21,0.6482758620689655,0.30652838945388794,1.5460143034726153,0.37620284677763893,0.6242460997150782,0.6242460997150782,0.7710843373493976,0.09169875526103699,0.4837537417816364,0.4489795918367347
image,0.225,21,0.7172413793103448,0.27682265639305115,1.6218910968440576,0.47508394393654635,0.6665105851732404,0.6665105851732404,0.8112449799196787,0.16003254111220871,0.5399379038781918,0.4897959183673469
image,0.25,18,0.7827586206896552,0.27366572618484497,1.6976036634924412,0.606224079630604,0.7329687791999938,0.7329687791999938,0.8554216867469879,0.24837758112094396,0.621291616817078,0.5918367346938775
image,0.275,17,0.8310344827586207,0.2752227187156677,1.6982647786602865,0.7656591381990193,0.7927022370132152,0.7927022370132152,0.8795180722891566,0.29246110889509375,0.6445316752067187,0.6122448979591837
image,0.3,14,0.8862068965517241,0.30316662788391113,1.6675772836552931,0.8696290515983586,0.8610956535032187,0.8610956535032186,0.8875502008032129,0.4488621501438661,0.7443988743841512,0.6122448979591837
image,0.325,13,0.9103448275862069,0.29199299216270447,1.7364424000712546,0.9128761440741929,0.896220494073033,0.896220494073033,0.9036144578313253,0.455145890811805,0.7395070508488197,0.6122448979591837
image,0.35,12,0.9482758620689655,0.28004544973373413,1.8326467547707253,0.9357528558024718,0.9049602179056048,0.9049602179056049,0.9076305220883534,0.3939859348476275,0.7057883332291022,0.5918367346938775
image,0.375,7,0.9551724137931035,0.20917139947414398,2.1777478637564704,0.6146582161495753,0.7535411192119774,0.7535411192119774,0.6385542168674698,0.15977840309532185,0.508447981337066,0.32653061224489793
image,0.4,5,0.9724137931034482,0.16932174563407898,2.2519872118914543,0.34029024620415543,0.5980580072050123,0.5980580072050123,0.43373493975903615,0.1406919536581495,0.4720054088735203,0.2857142857142857
image,0.425,4,0.9793103448275862,0.1725175827741623,2.3142081163047044,0.3270951120440739,0.5737926433137011,0.5737926433137011,0.41767068273092367,0.07740585774058577,0.34737224510029435,0.22448979591836735
image,0.45,2,0.9827586206896551,0.18481241166591644,2.746027336258184,0.12931590112687275,0.3408717778637546,0.3408717778637546,0.2248995983935743,0.07386948280530733,0.32419748976331797,0.20408163265306123
image,0.475,1,0.996551724137931,nan,nan,-0.0006900589033530177,0.006205875717370028,0.0062058757173700276,0.20481927710843373,0.0,0.0,0.10204081632653061
image,0.5,1,1.0,nan,nan,0.0,0.0,0.0,0.20080321285140562,0.0,0.0,0.10204081632653061
image,0.525,1,1.0,nan,nan,0.0,0.0,0.0,0.20080321285140562,0.0,0.0,0.10204081632653061
image,0.55,1,1.0,nan,nan,0.0,0.0,0.0,0.20080321285140562,0.0,0.0,0.10204081632653061
caption,0.15,17,0.38275862068965516,0.5092700123786926,1.0869862017242689,0.027181750370529303,0.39670002784623304,0.39670002784623304,0.5461847389558233,0.07335069444444445,0.34545419587759424,0.2653061224489796
caption,0.175,20,0.4586206896551724,0.43670517206192017,1.2590432964824032,0.040623880369709146,0.4307838022227256,0.43078380222272566,0.5943775100401606,0.0776587475921733,0.37245183503208806,0.2857142857142857
